,B19058_002E,county,state
63,2802,1,1
22,6644,3,1
51,2468,5,1
52,933,7,1
60,2244,9,1
53,920,11,1
44,1393,13,1
54,8221,15,1
55,2291,17,1
11,1899,19,1
34,3184,21,1
7,1409,23,1
56,1894,25,1
30,812,27,1
49,954,29,1
31,2656,31,1
35,2824,33,1
46,881,35,1
36,602,37,1
12,2168,39,1
13,1002,41,1
23,3897,43,1
37,3467,45,1
14,5326,47,1
40,4651,49,1
24,4184,51,1
41,2506,53,1
39,6063,55,1
57,1320,57,1
8,2293,59,1
65,1828,61,1
50,1247,63,1
38,1445,65,1
61,1129,67,1
25,6066,69,1
26,2690,71,1
6,40728,73,1
42,1136,75,1
15,5516,77,1
1,2297,79,1
2,7283,81,1
18,4340,83,1
16,1440,85,1
17,2237,87,1
62,15888,89,1
9,1971,91,1
3,2021,93,1
59,5709,95,1
45,27570,97,1
0,1416,99,1
58,17843,101,1
32,6556,103,1
47,1107,105,1
4,1370,107,1
33,2007,109,1
43,1382,111,1
10,4639,113,1
20,4171,115,1
19,4533,117,1
5,1614,119,1
27,5647,121,1
64,3080,123,1
28,7986,125,1
48,4270,127,1
29,921,129,1
66,967,131,1
21,1500,133,1
89,136,13,2
71,69,16,2
88,11524,20,2
74,1967,50,2
72,41,60,2
68,41,68,2
82,443,70,2
77,3481,90,2
83,108,100,2
92,141,105,2
84,1196,110,2
70,2518,122,2
78,965,130,2
67,533,150,2
95,1124,158,2
85,119,164,2
79,3842,170,2
81,984,180,2
75,353,185,2
73,691,188,2
94,171,195,2
90,519,198,2
76,404,220,2
93,22,230,2
86,281,240,2
69,199,261,2
91,170,275,2
80,38,282,2
87,716,290,2
104,5375,1,4
101,8126,3,4
105,6250,5,4
98,3814,7,4
99,2096,9,4
108,314,11,4
102,1259,12,4
97,170676,13,4
103,13855,15,4
109,8742,17,4
96,58140,19,4
110,17326,21,4
100,4178,23,4
106,10147,25,4
107,14144,27,4
181,1520,1,5
164,1651,3,5
163,2061,5,5
140,5841,7,5
123,2431,9,5
174,1012,11,5
172,284,13,5
184,1123,15,5
141,1149,17,5
173,1202,19,5
115,1144,21,5
155,948,23,5
156,445,25,5
119,1933,27,5
178,1455,29,5
165,5825,31,5
139,3241,33,5
129,3999,35,5
116,1145,37,5
117,571,39,5
146,1562,41,5
118,1312,43,5
131,4978,45,5
130,1102,47,5
147,930,49,5
149,5673,51,5
128,672,53,5
162,2588,55,5
158,1186,57,5
142,1933,59,5
148,892,61,5
125,1951,63,5
124,806,65,5
157,1261,67,5
133,5927,69,5
143,1480,71,5
166,664,73,5
175,1127,75,5
144,1128,77,5
126,803,79,5
182,1041,81,5
127,1287,83,5
183,2668,85,5
145,728,87,5
134,1084,89,5
185,2621,91,5
150,3979,93,5
176,802,95,5
135,644,97,5
112,677,99,5
180,532,101,5
179,1945,103,5
167,527,105,5
169,2418,107,5
132,628,109,5
170,2056,111,5
177,1431,113,5
151,3105,115,5
152,595,117,5
114,18298,119,5
120,1397,121,5
113,2341,123,5
121,3509,125,5
136,843,127,5
137,483,129,5
138,8380,131,5
171,1112,133,5
159,1475,135,5
160,916,137,5
153,2580,139,5
122,1036,141,5
161,7558,143,5
111,3443,145,5
154,774,147,5
168,1100,149,5
201,47442,1,6
213,44,3,6
243,1203,5,6
230,10971,7,6
238,1743,9,6
228,977,11,6
191,28789,13,6
227,1634,15,6
203,4929,17,6
234,66542,19,6
229,1212,21,6
211,7085,23,6
198,10012,25,6
192,807,27,6
235,47972,29,6
231,7490,31,6
188,3544,33,6
193,924,35,6
218,333729,37,6
214,8626,39,6
222,4042,41,6
189,765,43,6
215,4481,45,6
187,17206,47,6
186,289,49,6
199,243,51,6
206,9735,53,6
204,2473,55,6
212,3067,57,6
236,76357,59,6
223,7370,61,6
232,860,63,6
219,81095,65,6
202,70628,67,6
200,1868,69,6
220,106098,71,6
205,89399,73,6
207,21645,75,6
242,34256,77,6
233,6333,79,6
240,11712,81,6
195,12356,83,6
221,37147,85,6
216,8641,87,6
225,8287,89,6
208,105,91,6
224,2516,93,6
226,15280,95,6
196,15013,97,6
194,28229,99,6
239,4305,101,6
197,3631,103,6
217,634,105,6
209,34383,107,6
241,2459,109,6
237,21525,111,6
210,7010,113,6
190,4447,115,6
245,18290,1,8
274,1533,3,8
288,18565,5,8
291,391,7,8
295,227,9,8
256,500,11,8
267,7308,13,8
307,1069,14,8
296,477,15,8
255,72,17,8
271,253,19,8
246,722,21,8
244,402,23,8
257,221,25,8
247,150,27,8
275,1481,29,8
292,29701,31,8
258,56,33,8
248,2661,35,8
249,630,37,8
268,365,39,8
285,26845,41,8
276,2376,43,8
299,1565,45,8
297,206,47,8
287,261,49,8
300,536,51,8
284,15,53,8
294,560,55,8
260,33,57,8
301,12236,59,8
293,82,61,8
298,276,63,8
250,366,65,8
251,1148,67,8
261,9139,69,8
269,1360,71,8
270,145,73,8
262,1065,75,8
282,7349,77,8
302,8,79,8
252,599,81,8
263,1236,83,8
278,2315,85,8
279,1605,87,8
289,1372,89,8
303,110,91,8
280,348,93,8
